,date,newCases,totalCases,newDeaths,deaths
0,2020-03-12,1,1,0,0
1,2020-03-13,0,1,0,0
2,2020-03-14,0,1,0,0
3,2020-03-15,0,1,0,0
4,2020-03-16,0,1,0,0
5,2020-03-17,0,1,0,0
6,2020-03-18,5,6,0,0
7,2020-03-19,1,7,1,1
8,2020-03-20,0,7,0,1
9,2020-03-21,3,10,0,1
10,2020-03-22,0,10,0,1
11,2020-03-23,0,10,0,1
12,2020-03-24,2,12,0,1
13,2020-03-25,7,19,0,1
14,2020-03-26,12,31,0,1
15,2020-03-27,5,36,0,1
16,2020-03-28,1,37,0,1
17,2020-03-29,2,39,0,1
18,2020-03-30,8,47,0,1
19,2020-03-31,10,57,0,1
20,2020-04-01,5,62,0,1
21,2020-04-02,1,63,0,1
22,2020-04-03,2,65,0,1
23,2020-04-04,14,79,1,2
24,2020-04-05,8,87,0,2
25,2020-04-06,5,92,0,2
26,2020-04-07,2,94,0,2
27,2020-04-08,12,106,0,2
28,2020-04-09,11,117,3,5
29,2020-04-10,0,117,0,5
30,2020-04-11,3,120,1,6
31,2020-04-12,0,120,0,6
32,2020-04-13,4,124,1,7
33,2020-04-14,24,148,3,10
34,2020-04-15,19,167,1,11
35,2020-04-16,0,167,0,11
36,2020-04-17,18,185,3,14
37,2020-04-18,14,199,0,14
38,2020-04-19,13,212,0,14
39,2020-04-20,2,214,2,16
40,2020-04-21,19,233,0,16
41,2020-04-22,6,239,0,16
42,2020-04-23,0,239,0,16
43,2020-04-24,10,249,1,17
44,2020-04-25,5,254,0,17
45,2020-04-26,6,260,2,19
46,2020-04-27,6,266,1,20
47,2020-04-28,16,282,0,20
48,2020-04-29,0,282,0,20
49,2020-04-30,62,344,5,25
50,2020-05-01,62,406,1,26
51,2020-05-02,4,410,0,26
52,2020-05-03,12,422,1,27
53,2020-05-04,14,436,0,27
54,2020-05-05,22,458,4,31
55,2020-05-06,42,500,2,33
56,2020-05-07,24,524,2,35
57,2020-05-08,106,630,5,40
58,2020-05-09,-1,629,-1,39
59,2020-05-10,127,756,4,43
60,2020-05-11,23,779,2,45
61,2020-05-12,0,779,0,45
62,2020-05-13,0,779,0,45
63,2020-05-14,0,779,0,45
64,2020-05-15,11,790,11,56
65,2020-05-16,398,1188,9,65
66,2020-05-17,0,1188,0,65
67,2020-05-18,780,1968,0,65
68,2020-05-19,0,1968,0,65
69,2020-05-20,0,1968,0,65
70,2020-05-21,0,1968,0,65
71,2020-05-22,14,1982,23,88
72,2020-05-23,1,1983,1,89
73,2020-05-24,0,1983,0,89
74,2020-05-25,58,2041,0,89
75,2020-05-26,-349,1692,3,92
76,2020-05-27,0,1692,0,92
77,2020-05-28,601,2293,7,99
78,2020-05-29,454,2747,3,102
79,2020-05-30,303,3050,2,104
80,2020-05-31,15,3065,0,104
81,2020-06-01,21,3086,0,104
82,2020-06-02,166,3252,9,113
83,2020-06-03,105,3357,9,122
84,2020-06-04,90,3447,5,127
85,2020-06-05,59,3506,0,127
86,2020-06-06,80,3586,-1,126
87,2020-06-07,329,3915,0,126
88,2020-06-08,271,4186,0,126
89,2020-06-09,141,4327,8,134
90,2020-06-10,-39,4288,1,135
91,2020-06-11,-3,4285,8,143
92,2020-06-12,128,4413,1,144
93,2020-06-13,102,4515,2,146
94,2020-06-14,57,4572,0,146
95,2020-06-15,99,4671,0,146
96,2020-06-16,48,4719,9,155
97,2020-06-17,120,4839,11,166
98,2020-06-18,4,4843,4,170
99,2020-06-19,376,5219,2,172
100,2020-06-20,128,5347,3,175
101,2020-06-21,23,5370,0,175
102,2020-06-22,56,5426,1,176
103,2020-06-23,114,5540,3,179
104,2020-06-24,154,5694,5,184
105,2020-06-25,228,5922,0,184
106,2020-06-26,183,6105,-1,183
107,2020-06-27,16,6121,1,184
108,2020-06-28,225,6346,1,185
109,2020-06-29,11,6357,0,185
110,2020-06-30,20,6377,45,230
111,2020-07-01,0,6377,-22,208
112,2020-07-02,0,6377,0,208
113,2020-07-03,0,6377,0,208
114,2020-07-04,0,6377,23,231
115,2020-07-05,324,6701,1,232
116,2020-07-06,21,6722,0,232
117,2020-07-07,87,6809,0,232
118,2020-07-08,102,6911,0,232
119,2020-07-09,58,6969,2,234
120,2020-07-10,157,7126,4,238
121,2020-07-11,13,7139,4,242
122,2020-07-12,0,7139,0,242
123,2020-07-13,128,7267,0,242
124,2020-07-14,27,7294,12,254
125,2020-07-15,163,7457,1,255
126,2020-07-16,6,7463,6,261
127,2020-07-17,0,7463,0,261
128,2020-07-18,0,7463,0,261
129,2020-07-19,262,7725,9,270
130,2020-07-20,282,8007,0,270
131,2020-07-21,220,8227,1,271
132,2020-07-22,94,8321,0,271
133,2020-07-23,134,8455,2,273
134,2020-07-24,118,8573,10,283
135,2020-07-25,109,8682,9,292
136,2020-07-26,0,8682,0,292
137,2020-07-27,11,8693,0,292
138,2020-07-28,112,8805,2,294
139,2020-07-29,94,8899,-1,293
140,2020-07-30,81,8980,7,300
141,2020-07-31,99,9079,9,309
142,2020-08-01,0,9079,0,309
143,2020-08-02,0,9079,0,309
144,2020-08-03,0,9079,0,309
145,2020-08-04,0,9079,0,309
146,2020-08-05,0,9079,0,309
147,2020-08-06,0,9079,0,309
148,2020-08-07,0,9079,0,309
149,2020-08-08,211,9290,1,310
150,2020-08-09,90,9380,0,310
151,2020-08-10,0,9380,0,310
152,2020-08-11,219,9599,4,314
153,2020-08-12,0,9599,0,314
154,2020-08-13,119,9718,6,320
155,2020-08-14,212,9930,5,325
156,2020-08-15,23,9953,5,330
157,2020-08-16,20,9973,0,330
158,2020-08-17,0,9973,0,330
159,2020-08-18,161,10134,0,330
160,2020-08-19,0,10134,0,330
161,2020-08-20,180,10314,12,342
162,2020-08-21,0,10314,0,342
163,2020-08-22,115,10429,5,347
164,2020-08-23,3,10432,0,347
165,2020-08-24,0,10432,0,347
166,2020-08-25,174,10606,6,353
167,2020-08-26,0,10606,0,353
168,2020-08-27,246,10852,5,358
169,2020-08-28,0,10852,0,358
170,2020-08-29,233,11085,7,365
171,2020-08-30,25,11110,0,365
172,2020-08-31,20,11130,0,365
173,2020-09-01,126,11256,6,371
174,2020-09-02,46,11302,0,371
175,2020-09-03,178,11480,8,379
176,2020-09-04,409,11889,0,379
177,2020-09-05,0,11889,0,379
178,2020-09-06,-252,11637,11,390
179,2020-09-07,0,11637,0,390
180,2020-09-08,40,11677,0,390
181,2020-09-09,70,11747,4,394
182,2020-09-10,70,11817,0,394
183,2020-09-11,56,11873,0,394
184,2020-09-12,100,11973,1,395
185,2020-09-13,100,12073,0,395
186,2020-09-14,92,12165,0,395
187,2020-09-15,30,12195,14,409
188,2020-09-16,30,12225,0,409
189,2020-09-17,30,12255,0,409
190,2020-09-18,25,12280,0,409
191,2020-09-19,115,12395,4,413
192,2020-09-20,0,12395,0,413
193,2020-09-21,0,12395,0,413
194,2020-09-22,342,12737,0,413
195,2020-09-23,74,12811,2,415
196,2020-09-24,79,12890,0,415
197,2020-09-25,76,12966,0,415
198,2020-09-26,60,13026,5,420
199,2020-09-27,60,13086,0,420
200,2020-09-28,60,13146,0,420
201,2020-09-29,72,13218,0,420
202,2020-09-30,80,13298,3,423
203,2020-10-01,80,13378,0,423
204,2020-10-02,78,13456,0,423
205,2020-10-03,80,13536,21,444
206,2020-10-04,80,13616,0,444
207,2020-10-05,80,13696,0,444
208,2020-10-06,78,13774,0,444
209,2020-10-07,66,13840,1,445
210,2020-10-08,66,13906,0,445
211,2020-10-09,66,13972,0,445
212,2020-10-10,78,14050,7,452
213,2020-10-11,78,14128,0,452
214,2020-10-12,78,14206,0,452
215,2020-10-13,78,14284,0,452
216,2020-10-14,42,14326,7,459
217,2020-10-15,40,14366,0,459
218,2020-10-16,40,14406,0,459
219,2020-10-17,0,14406,0,459
220,2020-10-18,224,14630,13,472
221,2020-10-19,112,14742,0,472
222,2020-10-20,112,14854,0,472
223,2020-10-21,70,14924,13,485
224,2020-10-22,70,14994,0,485
225,2020-10-23,72,15066,0,485
226,2020-10-24,90,15156,4,489
227,2020-10-25,0,15156,0,489
228,2020-10-26,180,15336,0,489
229,2020-10-27,76,15412,11,500
230,2020-10-28,76,15488,0,500
231,2020-10-29,78,15566,0,500
232,2020-10-30,86,15652,13,513
233,2020-10-31,86,15738,0,513
234,2020-11-01,86,15824,0,513
235,2020-11-02,86,15910,0,513
236,2020-11-03,89,15999,0,513
237,2020-11-04,68,16067,7,520
238,2020-11-05,68,16135,0,520
239,2020-11-06,70,16205,0,520
240,2020-11-07,80,16285,12,532
241,2020-11-08,80,16365,0,532
242,2020-11-09,80,16445,0,532
243,2020-11-10,85,16530,0,532
244,2020-11-11,199,16729,0,532
245,2020-11-12,0,16729,0,532
246,2020-11-13,0,16729,0,532
247,2020-11-14,280,17009,6,538
248,2020-11-15,37,17046,0,538
249,2020-11-16,37,17083,0,538
250,2020-11-17,39,17122,0,538
251,2020-11-18,102,17224,16,554
252,2020-11-19,27,17251,0,554
253,2020-11-20,27,17278,0,554
254,2020-11-21,27,17305,0,554
255,2020-11-22,27,17332,0,554
256,2020-11-23,27,17359,0,554
257,2020-11-24,30,17389,0,554
258,2020-11-25,100,17489,19,573
259,2020-11-26,269,17758,0,573
260,2020-11-27,270,18028,0,573
261,2020-11-28,113,18141,19,592
262,2020-11-29,90,18231,0,592
263,2020-11-30,90,18321,0,592
264,2020-12-01,90,18411,0,592
265,2020-12-02,199,18610,7,599
266,2020-12-03,165,18775,0,599
267,2020-12-04,164,18939,0,599
268,2020-12-05,200,19139,11,610
269,2020-12-06,146,19285,0,610
270,2020-12-07,146,19431,0,610
271,2020-12-08,146,19577,0,610
272,2020-12-09,201,19778,8,618
273,2020-12-10,196,19974,0,618
274,2020-12-11,196,20170,0,618
275,2020-12-12,300,20470,16,634
276,2020-12-13,217,20687,0,634
277,2020-12-14,215,20902,0,634
278,2020-12-15,215,21117,0,634
279,2020-12-16,111,21228,8,642
280,2020-12-17,100,21328,0,642
281,2020-12-18,100,21428,0,642
282,2020-12-19,200,21628,22,664
283,2020-12-20,171,21799,0,664
284,2020-12-21,171,21970,1,665
285,2020-12-22,171,22141,0,665
286,2020-12-23,100,22241,121,786
287,2020-12-24,179,22420,-111,675
288,2020-12-25,68,22488,0,675
289,2020-12-26,68,22556,0,675
290,2020-12-27,68,22624,0,675
291,2020-12-28,68,22692,0,675
292,2020-12-29,68,22760,0,675
293,2020-12-30,4,22764,15,690
294,2020-12-31,108,22872,0,690
