,epi_week,date,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
103,11,2020-03-12,RJ,Niterói/RJ,3303302,0,0,1,1,0.0,0.193,0.0
130,11,2020-03-13,RJ,Niterói/RJ,3303302,0,0,0,1,0.0,0.193,0.0
164,11,2020-03-14,RJ,Niterói/RJ,3303302,0,0,0,1,0.0,0.193,0.0
200,12,2020-03-15,RJ,Niterói/RJ,3303302,0,0,0,1,0.0,0.193,0.0
241,12,2020-03-16,RJ,Niterói/RJ,3303302,0,0,0,1,0.0,0.193,0.0
293,12,2020-03-17,RJ,Niterói/RJ,3303302,0,0,0,1,0.0,0.193,0.0
361,12,2020-03-18,RJ,Niterói/RJ,3303302,0,0,5,6,0.0,1.161,0.0
446,12,2020-03-19,RJ,Niterói/RJ,3303302,1,1,1,7,0.193,1.354,0.14300000000000002
561,12,2020-03-20,RJ,Niterói/RJ,3303302,0,1,0,7,0.193,1.354,0.14300000000000002
696,12,2020-03-21,RJ,Niterói/RJ,3303302,0,1,3,10,0.193,1.9340000000000002,0.1
849,13,2020-03-22,RJ,Niterói/RJ,3303302,0,1,0,10,0.193,1.9340000000000002,0.1
1021,13,2020-03-23,RJ,Niterói/RJ,3303302,0,1,0,10,0.193,1.9340000000000002,0.1
1215,13,2020-03-24,RJ,Niterói/RJ,3303302,0,1,2,12,0.193,2.3209999999999997,0.083
1433,13,2020-03-25,RJ,Niterói/RJ,3303302,0,1,7,19,0.193,3.675,0.053
1679,13,2020-03-26,RJ,Niterói/RJ,3303302,0,1,12,31,0.193,5.996,0.032
1953,13,2020-03-27,RJ,Niterói/RJ,3303302,0,1,5,36,0.193,6.9639999999999995,0.027999999999999997
2253,13,2020-03-28,RJ,Niterói/RJ,3303302,0,1,1,37,0.193,7.157,0.027000000000000003
2583,14,2020-03-29,RJ,Niterói/RJ,3303302,0,1,2,39,0.193,7.544,0.026000000000000002
2940,14,2020-03-30,RJ,Niterói/RJ,3303302,0,1,8,47,0.193,9.091000000000001,0.021
3344,14,2020-03-31,RJ,Niterói/RJ,3303302,0,1,10,57,0.193,11.026,0.018000000000000002
3794,14,2020-04-01,RJ,Niterói/RJ,3303302,0,1,5,62,0.193,11.993,0.016
4282,14,2020-04-02,RJ,Niterói/RJ,3303302,0,1,1,63,0.193,12.186,0.016
4823,14,2020-04-03,RJ,Niterói/RJ,3303302,0,1,2,65,0.193,12.573,0.015
5403,14,2020-04-04,RJ,Niterói/RJ,3303302,1,2,14,79,0.387,15.280999999999999,0.025
6018,15,2020-04-05,RJ,Niterói/RJ,3303302,0,2,8,87,0.387,16.828,0.023
6697,15,2020-04-06,RJ,Niterói/RJ,3303302,0,2,5,92,0.387,17.796,0.022000000000000002
7426,15,2020-04-07,RJ,Niterói/RJ,3303302,0,2,2,94,0.387,18.182000000000002,0.021
8227,15,2020-04-08,RJ,Niterói/RJ,3303302,0,2,12,106,0.387,20.504,0.019
9087,15,2020-04-09,RJ,Niterói/RJ,3303302,3,5,11,117,0.9670000000000001,22.631,0.043
9981,15,2020-04-10,RJ,Niterói/RJ,3303302,0,5,0,117,0.9670000000000001,22.631,0.043
10928,15,2020-04-11,RJ,Niterói/RJ,3303302,1,6,3,120,1.161,23.212,0.05
11919,16,2020-04-12,RJ,Niterói/RJ,3303302,0,6,0,120,1.161,23.212,0.05
12955,16,2020-04-13,RJ,Niterói/RJ,3303302,1,7,4,124,1.354,23.985,0.055999999999999994
14035,16,2020-04-14,RJ,Niterói/RJ,3303302,3,10,24,148,1.9340000000000002,28.628,0.068
15191,16,2020-04-15,RJ,Niterói/RJ,3303302,1,11,19,167,2.128,32.303000000000004,0.066
16409,16,2020-04-16,RJ,Niterói/RJ,3303302,0,11,0,167,2.128,32.303000000000004,0.066
17685,16,2020-04-17,RJ,Niterói/RJ,3303302,3,14,18,185,2.708,35.785,0.076
19029,16,2020-04-18,RJ,Niterói/RJ,3303302,0,14,14,199,2.708,38.493,0.07
20432,17,2020-04-19,RJ,Niterói/RJ,3303302,0,14,13,212,2.708,41.007,0.066
21894,17,2020-04-20,RJ,Niterói/RJ,3303302,2,16,2,214,3.095,41.394,0.075
23402,17,2020-04-21,RJ,Niterói/RJ,3303302,0,16,19,233,3.095,45.068999999999996,0.069
24955,17,2020-04-22,RJ,Niterói/RJ,3303302,0,16,6,239,3.095,46.23,0.067
26575,17,2020-04-23,RJ,Niterói/RJ,3303302,0,16,0,239,3.095,46.23,0.067
28282,17,2020-04-24,RJ,Niterói/RJ,3303302,1,17,10,249,3.2880000000000003,48.163999999999994,0.068
30054,17,2020-04-25,RJ,Niterói/RJ,3303302,0,17,5,254,3.2880000000000003,49.131,0.067
31907,18,2020-04-26,RJ,Niterói/RJ,3303302,2,19,6,260,3.675,50.292,0.073
33821,18,2020-04-27,RJ,Niterói/RJ,3303302,1,20,6,266,3.8689999999999998,51.453,0.075
35807,18,2020-04-28,RJ,Niterói/RJ,3303302,0,20,16,282,3.8689999999999998,54.547,0.071
37894,18,2020-04-29,RJ,Niterói/RJ,3303302,0,20,0,282,3.8689999999999998,54.547,0.071
40056,18,2020-04-30,RJ,Niterói/RJ,3303302,5,25,62,344,4.836,66.54,0.073
42279,18,2020-05-01,RJ,Niterói/RJ,3303302,1,26,62,406,5.029,78.533,0.064
44571,18,2020-05-02,RJ,Niterói/RJ,3303302,0,26,4,410,5.029,79.307,0.063
46931,19,2020-05-03,RJ,Niterói/RJ,3303302,1,27,12,422,5.223,81.628,0.064
49337,19,2020-05-04,RJ,Niterói/RJ,3303302,0,27,14,436,5.223,84.336,0.062
51816,19,2020-05-05,RJ,Niterói/RJ,3303302,4,31,22,458,5.996,88.59100000000001,0.068
54370,19,2020-05-06,RJ,Niterói/RJ,3303302,2,33,42,500,6.382999999999999,96.715,0.066
57011,19,2020-05-07,RJ,Niterói/RJ,3303302,2,35,24,524,6.77,101.35799999999999,0.067
59744,19,2020-05-08,RJ,Niterói/RJ,3303302,5,40,106,630,7.737,121.861,0.063
62563,19,2020-05-09,RJ,Niterói/RJ,3303302,-1,39,-1,629,7.544,121.66799999999999,0.062
65447,20,2020-05-10,RJ,Niterói/RJ,3303302,4,43,127,756,8.318,146.234,0.057
68394,20,2020-05-11,RJ,Niterói/RJ,3303302,2,45,23,779,8.704,150.683,0.057999999999999996
71397,20,2020-05-12,RJ,Niterói/RJ,3303302,0,45,0,779,8.704,150.683,0.057999999999999996
74466,20,2020-05-13,RJ,Niterói/RJ,3303302,0,45,0,779,8.704,150.683,0.057999999999999996
77620,20,2020-05-14,RJ,Niterói/RJ,3303302,0,45,0,779,8.704,150.683,0.057999999999999996
80860,20,2020-05-15,RJ,Niterói/RJ,3303302,11,56,11,790,10.832,152.81,0.071
84188,20,2020-05-16,RJ,Niterói/RJ,3303302,9,65,398,1188,12.573,229.796,0.055
87556,21,2020-05-17,RJ,Niterói/RJ,3303302,0,65,0,1188,12.573,229.796,0.055
90967,21,2020-05-18,RJ,Niterói/RJ,3303302,0,65,780,1968,12.573,380.67199999999997,0.033
94447,21,2020-05-19,RJ,Niterói/RJ,3303302,0,65,0,1968,12.573,380.67199999999997,0.033
98008,21,2020-05-20,RJ,Niterói/RJ,3303302,0,65,0,1968,12.573,380.67199999999997,0.033
101653,21,2020-05-21,RJ,Niterói/RJ,3303302,0,65,0,1968,12.573,380.67199999999997,0.033
105371,21,2020-05-22,RJ,Niterói/RJ,3303302,23,88,14,1982,17.022000000000002,383.38,0.044000000000000004
109206,21,2020-05-23,RJ,Niterói/RJ,3303302,1,89,1,1983,17.215,383.57300000000004,0.045
113110,22,2020-05-24,RJ,Niterói/RJ,3303302,0,89,0,1983,17.215,383.57300000000004,0.045
117052,22,2020-05-25,RJ,Niterói/RJ,3303302,0,89,58,2041,17.215,394.792,0.044000000000000004
121036,22,2020-05-26,RJ,Niterói/RJ,3303302,3,92,-349,1692,17.796,327.285,0.054000000000000006
125067,22,2020-05-27,RJ,Niterói/RJ,3303302,0,92,0,1692,17.796,327.285,0.054000000000000006
129161,22,2020-05-28,RJ,Niterói/RJ,3303302,7,99,601,2293,19.15,443.537,0.043
133319,22,2020-05-29,RJ,Niterói/RJ,3303302,3,102,454,2747,19.73,531.354,0.037000000000000005
137541,22,2020-05-30,RJ,Niterói/RJ,3303302,2,104,303,3050,20.117,589.964,0.034
141804,23,2020-05-31,RJ,Niterói/RJ,3303302,0,104,15,3065,20.117,592.865,0.034
146094,23,2020-06-01,RJ,Niterói/RJ,3303302,0,104,21,3086,20.117,596.927,0.034
150421,23,2020-06-02,RJ,Niterói/RJ,3303302,9,113,166,3252,21.858,629.0369999999999,0.035
154794,23,2020-06-03,RJ,Niterói/RJ,3303302,9,122,105,3357,23.599,649.347,0.036000000000000004
159205,23,2020-06-04,RJ,Niterói/RJ,3303302,5,127,90,3447,24.566,666.7560000000001,0.037000000000000005
163671,23,2020-06-05,RJ,Niterói/RJ,3303302,0,127,59,3506,24.566,678.168,0.036000000000000004
168192,23,2020-06-06,RJ,Niterói/RJ,3303302,-1,126,80,3586,24.372,693.643,0.035
172744,24,2020-06-07,RJ,Niterói/RJ,3303302,0,126,329,3915,24.372,757.2810000000001,0.032
177365,24,2020-06-08,RJ,Niterói/RJ,3303302,0,126,271,4186,24.372,809.701,0.03
182020,24,2020-06-09,RJ,Niterói/RJ,3303302,8,134,141,4327,25.92,836.975,0.031
