,date,new_deaths
105439,2020-02-25,
105440,2020-02-26,0.0
105441,2020-02-27,0.0
105442,2020-02-28,0.0
105443,2020-02-29,0.0
105444,2020-03-01,0.0
105445,2020-03-02,0.0
105446,2020-03-03,0.0
105447,2020-03-04,0.0
105448,2020-03-05,0.0
105449,2020-03-06,0.0
105450,2020-03-07,0.0
105451,2020-03-08,0.0
105452,2020-03-09,0.0
105453,2020-03-10,0.0
105454,2020-03-11,0.0
105455,2020-03-12,0.0
105456,2020-03-13,0.0
105457,2020-03-14,0.0
105458,2020-03-15,0.0
105459,2020-03-16,0.0
105460,2020-03-17,1.0
105461,2020-03-18,3.0
105462,2020-03-19,3.0
105463,2020-03-20,4.0
105464,2020-03-21,7.0
105465,2020-03-22,7.0
105466,2020-03-23,9.0
105467,2020-03-24,13.0
105468,2020-03-25,12.0
105469,2020-03-26,18.0
105470,2020-03-27,16.0
105471,2020-03-28,22.0
105472,2020-03-29,24.0
105473,2020-03-30,27.0
105474,2020-03-31,36.0
105475,2020-04-01,42.0
105476,2020-04-02,61.0
105477,2020-04-03,60.0
105478,2020-04-04,80.0
105479,2020-04-05,52.0
105480,2020-04-06,73.0
105481,2020-04-07,121.0
105482,2020-04-08,135.0
105483,2020-04-09,133.0
105484,2020-04-10,114.0
105485,2020-04-11,68.0
105486,2020-04-12,96.0
105487,2020-04-13,120.0
105488,2020-04-14,200.0
105489,2020-04-15,203.0
105490,2020-04-16,202.0
105491,2020-04-17,211.0
105492,2020-04-18,202.0
105493,2020-04-19,116.0
105494,2020-04-20,107.0
105495,2020-04-21,174.0
105496,2020-04-22,169.0
105497,2020-04-23,408.0
105498,2020-04-24,373.0
105499,2020-04-25,352.0
105500,2020-04-26,227.0
105501,2020-04-27,305.0
105502,2020-04-28,488.0
105503,2020-04-29,443.0
105504,2020-04-30,443.0
105505,2020-05-01,459.0
105506,2020-05-02,371.0
105507,2020-05-03,267.0
105508,2020-05-04,304.0
105509,2020-05-05,591.0
105510,2020-05-06,625.0
105511,2020-05-07,675.0
105512,2020-05-08,754.0
105513,2020-05-09,671.0
105514,2020-05-10,478.0
105515,2020-05-11,485.0
105516,2020-05-12,842.0
105517,2020-05-13,778.0
105518,2020-05-14,789.0
105519,2020-05-15,914.0
105520,2020-05-16,719.0
105521,2020-05-17,500.0
105522,2020-05-18,722.0
105523,2020-05-19,1150.0
105524,2020-05-20,985.0
105525,2020-05-21,1069.0
105526,2020-05-22,1031.0
105527,2020-05-23,1046.0
105528,2020-05-24,658.0
105529,2020-05-25,726.0
105530,2020-05-26,1055.0
105531,2020-05-27,1060.0
105532,2020-05-28,1189.0
105533,2020-05-29,1138.0
105534,2020-05-30,864.0
105535,2020-05-31,470.0
105536,2020-06-01,742.0
105537,2020-06-02,1364.0
105538,2020-06-03,1194.0
105539,2020-06-04,1510.0
105540,2020-06-05,1076.0
105541,2020-06-06,801.0
105542,2020-06-07,476.0
105543,2020-06-08,863.0
105544,2020-06-09,1193.0
105545,2020-06-10,1236.0
105546,2020-06-11,1269.0
105547,2020-06-12,842.0
105548,2020-06-13,857.0
105549,2020-06-14,634.0
105550,2020-06-15,764.0
105551,2020-06-16,1332.0
105552,2020-06-17,1185.0
105553,2020-06-18,1237.0
105554,2020-06-19,1172.0
105555,2020-06-20,982.0
105556,2020-06-21,609.0
105557,2020-06-22,735.0
105558,2020-06-23,1405.0
105559,2020-06-24,1110.0
105560,2020-06-25,1173.0
105561,2020-06-26,992.0
105562,2020-06-27,1035.0
105563,2020-06-28,600.0
105564,2020-06-29,714.0
105565,2020-06-30,1314.0
105566,2020-07-01,1086.0
105567,2020-07-02,1258.0
105568,2020-07-03,1213.0
105569,2020-07-04,1057.0
105570,2020-07-05,559.0
105571,2020-07-06,683.0
105572,2020-07-07,1299.0
105573,2020-07-08,1173.0
105574,2020-07-09,1222.0
105575,2020-07-10,1299.0
105576,2020-07-11,931.0
105577,2020-07-12,617.0
105578,2020-07-13,832.0
105579,2020-07-14,1301.0
105580,2020-07-15,1271.0
105581,2020-07-16,1320.0
105582,2020-07-17,1123.0
105583,2020-07-18,844.0
105584,2020-07-19,703.0
105585,2020-07-20,774.0
105586,2020-07-21,1317.0
105587,2020-07-22,1296.0
105588,2020-07-23,1313.0
105589,2020-07-24,1142.0
105590,2020-07-25,1108.0
105591,2020-07-26,571.0
105592,2020-07-27,684.0
105593,2020-07-28,1257.0
105594,2020-07-29,1198.0
105595,2020-07-30,1202.0
105596,2020-07-31,1271.0
105597,2020-08-01,937.0
105598,2020-08-02,535.0
105599,2020-08-03,598.0
105600,2020-08-04,1321.0
105601,2020-08-05,1391.0
105602,2020-08-06,1225.0
105603,2020-08-07,1084.0
105604,2020-08-08,825.0
105605,2020-08-09,568.0
105606,2020-08-10,789.0
105607,2020-08-11,1181.0
105608,2020-08-12,1191.0
105609,2020-08-13,1228.0
105610,2020-08-14,1013.0
105611,2020-08-15,730.0
105612,2020-08-16,594.0
105613,2020-08-17,785.0
105614,2020-08-18,1347.0
105615,2020-08-19,1156.0
105616,2020-08-20,1236.0
105617,2020-08-21,1064.0
105618,2020-08-22,828.0
105619,2020-08-23,456.0
105620,2020-08-24,707.0
105621,2020-08-25,1204.0
105622,2020-08-26,1084.0
105623,2020-08-27,984.0
105624,2020-08-28,845.0
105625,2020-08-29,909.0
105626,2020-08-30,399.0
105627,2020-08-31,639.0
105628,2020-09-01,1159.0
105629,2020-09-02,1203.0
105630,2020-09-03,871.0
105631,2020-09-04,847.0
105632,2020-09-05,607.0
105633,2020-09-06,457.0
105634,2020-09-07,322.0
105635,2020-09-08,521.0
105636,2020-09-09,1159.0
105637,2020-09-10,974.0
105638,2020-09-11,847.0
105639,2020-09-12,768.0
105640,2020-09-13,405.0
105641,2020-09-14,456.0
105642,2020-09-15,1084.0
105643,2020-09-16,962.0
105644,2020-09-17,869.0
105645,2020-09-18,828.0
105646,2020-09-19,681.0
105647,2020-09-20,351.0
105648,2020-09-21,462.0
105649,2020-09-22,797.0
105650,2020-09-23,932.0
105651,2020-09-24,794.0
105652,2020-09-25,822.0
105653,2020-09-26,722.0
105654,2020-09-27,339.0
105655,2020-09-28,390.0
105656,2020-09-29,856.0
105657,2020-09-30,984.0
105658,2020-10-01,773.0
105659,2020-10-02,654.0
105660,2020-10-03,572.0
105661,2020-10-04,374.0
105662,2020-10-05,393.0
105663,2020-10-06,810.0
105664,2020-10-07,725.0
105665,2020-10-08,733.0
105666,2020-10-09,654.0
105667,2020-10-10,533.0
105668,2020-10-11,278.0
105669,2020-10-12,194.0
105670,2020-10-13,377.0
105671,2020-10-14,733.0
105672,2020-10-15,814.0
105673,2020-10-16,643.0
105674,2020-10-17,415.0
105675,2020-10-18,235.0
105676,2020-10-19,326.0
105677,2020-10-20,648.0
105678,2020-10-21,570.0
105679,2020-10-22,505.0
105680,2020-10-23,563.0
105681,2020-10-24,387.0
105682,2020-10-25,233.0
105683,2020-10-26,302.0
105684,2020-10-27,525.0
105685,2020-10-28,505.0
105686,2020-10-29,551.0
105687,2020-10-30,573.0
105688,2020-10-31,292.0
105689,2020-11-01,203.0
105690,2020-11-02,165.0
105691,2020-11-03,288.0
105692,2020-11-04,618.0
105693,2020-11-05,603.0
105694,2020-11-06,271.0
105695,2020-11-07,228.0
105696,2020-11-08,190.0
105697,2020-11-09,186.0
105698,2020-11-10,198.0
105699,2020-11-11,574.0
